sale_year,small_area,type,median_price,transaction_count
2006,Kensington,Residential Apartment,296250.0,92
2006,Parkville,Residential Apartment,307775.0,60
2007,Docklands,Residential Apartment,565000.0,653
2007,East Melbourne,Residential Apartment,420000.0,327
2007,Kensington,Residential Apartment,349000.0,157
2007,Melbourne (CBD),House/Townhouse,,4
2007,Melbourne (CBD),Residential Apartment,350000.0,1725
2007,North Melbourne,House/Townhouse,565000.0,159
2007,Parkville,Residential Apartment,375000.0,91
2007,South Yarra,House/Townhouse,1510000.0,37
2007,Southbank,Residential Apartment,439000.0,1376
2008,Carlton,Residential Apartment,355000.0,211
2008,East Melbourne,Residential Apartment,402500.0,178
2008,Kensington,Residential Apartment,362500.0,169
2008,Melbourne (CBD),Residential Apartment,378000.0,1879
2008,North Melbourne,Residential Apartment,373950.0,253
2008,Southbank,Residential Apartment,470000.0,1031
2008,West Melbourne (Residential),House/Townhouse,580000.0,27
2008,West Melbourne (Residential),Residential Apartment,449000.0,181
2009,East Melbourne,House/Townhouse,1750000.0,56
2009,East Melbourne,Residential Apartment,537500.0,253
2009,Kensington,Residential Apartment,378000.0,239
2009,Melbourne (CBD),House/Townhouse,,2
2009,Melbourne (Remainder),Residential Apartment,580000.0,139
2009,South Yarra,House/Townhouse,1750000.0,39
2009,South Yarra,Residential Apartment,485000.0,153
2009,Southbank,House/Townhouse,886000.0,19
2009,West Melbourne (Residential),House/Townhouse,727750.0,23
2010,Carlton,House/Townhouse,865000.0,80
2010,Docklands,House/Townhouse,1450000.0,57
2010,Docklands,Residential Apartment,610000.0,851
2010,East Melbourne,Residential Apartment,605000.0,190
2010,Kensington,Residential Apartment,446000.0,210
2010,Melbourne (CBD),Residential Apartment,457000.0,3766
2010,North Melbourne,Residential Apartment,430750.0,224
2010,Parkville,Residential Apartment,516000.0,215
2010,Southbank,Residential Apartment,575000.0,2109
2011,Carlton,House/Townhouse,845000.0,61
2011,Docklands,Residential Apartment,604450.0,772
2011,East Melbourne,Residential Apartment,480000.0,139
2011,Kensington,House/Townhouse,620500.0,216
2011,Kensington,Residential Apartment,420000.0,158
2011,Melbourne (CBD),Residential Apartment,464000.0,2437
2011,North Melbourne,House/Townhouse,724750.0,110
2011,Parkville,Residential Apartment,497000.0,127
2011,Southbank,Residential Apartment,580000.0,1342
2012,Carlton,House/Townhouse,726000.0,70
2012,Carlton,Residential Apartment,460000.0,661
2012,Docklands,House/Townhouse,1900000.0,12
2012,East Melbourne,House/Townhouse,1600000.0,35
2012,Kensington,House/Townhouse,609500.0,194
2012,Kensington,Residential Apartment,410000.0,117
2012,Melbourne (CBD),Residential Apartment,478000.0,2208
2012,Melbourne (Remainder),Residential Apartment,575000.0,76
2012,North Melbourne,House/Townhouse,700000.0,121
2012,Parkville,Residential Apartment,487000.0,97
2012,Southbank,Residential Apartment,540000.0,1185
2013,East Melbourne,Residential Apartment,680000.0,201
2013,Kensington,Residential Apartment,416500.0,110
2013,Melbourne (CBD),House/Townhouse,,8
2013,Melbourne (Remainder),Residential Apartment,730000.0,252
2013,South Yarra,Residential Apartment,586000.0,113
2013,Southbank,Residential Apartment,578000.0,1462
2013,West Melbourne (Residential),Residential Apartment,441250.0,252
2014,Carlton,Residential Apartment,501500.0,533
2014,Docklands,House/Townhouse,895000.0,12
2014,Docklands,Residential Apartment,580000.0,1098
2014,East Melbourne,House/Townhouse,1900000.0,53
2014,Melbourne (CBD),Residential Apartment,522250.0,2857
2014,Melbourne (Remainder),Residential Apartment,725000.0,165
2014,South Yarra,Residential Apartment,651000.0,153
2014,Southbank,House/Townhouse,,2
2014,West Melbourne (Residential),House/Townhouse,850000.0,27
2015,Carlton,Residential Apartment,432500.0,277
2015,Docklands,House/Townhouse,1880000.0,11
2015,Docklands,Residential Apartment,576500.0,608
2015,East Melbourne,House/Townhouse,1825000.0,37
2015,East Melbourne,Residential Apartment,677500.0,152
2015,Kensington,House/Townhouse,770000.0,176
2015,Kensington,Residential Apartment,435000.0,115
2015,Melbourne (Remainder),Residential Apartment,575500.0,64
2015,North Melbourne,House/Townhouse,900000.0,107
2015,Parkville,House/Townhouse,1238000.0,39
2015,South Yarra,House/Townhouse,2100000.0,33
2015,West Melbourne (Residential),House/Townhouse,912500.0,33
2015,West Melbourne (Residential),Residential Apartment,540300.0,163
2016,Carlton,House/Townhouse,1110000.0,57
2016,Docklands,Residential Apartment,591000.0,371
2016,Kensington,House/Townhouse,818750.0,172
2016,Kensington,Residential Apartment,430000.0,128
2016,Melbourne (Remainder),Residential Apartment,582500.0,80
2016,West Melbourne (Residential),House/Townhouse,900000.0,26
2016,NA,House/Townhouse,,4
